,account_id,district_id,frequency,start_date,end_date
0,576,55,"""POPLATEK MESICNE""",930101,1007289
1,3818,74,"""POPLATEK MESICNE""",930101,1007289
2,704,55,"""POPLATEK MESICNE""",930101,1007289
3,2378,16,"""POPLATEK MESICNE""",930101,1007289
4,2632,24,"""POPLATEK MESICNE""",930102,1007289
5,1972,77,"""POPLATEK MESICNE""",930102,1007289
6,1539,1,"""POPLATEK PO OBRATU""",930103,1007289
7,793,47,"""POPLATEK MESICNE""",930103,1007289
8,2484,74,"""POPLATEK MESICNE""",930103,1007289
9,1695,76,"""POPLATEK MESICNE""",930103,1007289
10,1726,48,"""POPLATEK MESICNE""",930103,1007289
11,2881,70,"""POPLATEK MESICNE""",930104,1007289
12,2357,19,"""POPLATEK MESICNE""",930104,1007289
13,2177,62,"""POPLATEK MESICNE""",930104,1007289
14,485,6,"""POPLATEK PO OBRATU""",930104,1007289
15,652,21,"""POPLATEK MESICNE""",930105,1007289
16,9635,70,"""POPLATEK MESICNE""",930105,1007289
17,1844,44,"""POPLATEK MESICNE""",930106,1007289
18,1926,37,"""POPLATEK MESICNE""",930106,1007289
19,2393,10,"""POPLATEK MESICNE""",930107,1007289
20,3510,41,"""POPLATEK MESICNE""",930107,1007289
21,1276,36,"""POPLATEK MESICNE""",930107,1007289
22,1637,1,"""POPLATEK MESICNE""",930108,1007289
23,3871,26,"""POPLATEK MESICNE""",930108,1007289
24,192,55,"""POPLATEK MESICNE""",930108,1007289
25,764,1,"""POPLATEK MESICNE""",930108,1007289
26,2087,7,"""POPLATEK TYDNE""",930108,1007289
27,2122,68,"""POPLATEK MESICNE""",930108,1007289
28,3592,54,"""POPLATEK MESICNE""",930108,1007289
29,3487,41,"""POPLATEK MESICNE""",930108,1007289
30,435,38,"""POPLATEK MESICNE""",930108,1007289
31,1730,1,"""POPLATEK MESICNE""",930109,1007289
32,1493,41,"""POPLATEK MESICNE""",930109,1007289
33,374,38,"""POPLATEK MESICNE""",930109,1007289
34,2925,1,"""POPLATEK MESICNE""",930110,1007289
35,866,9,"""POPLATEK MESICNE""",930110,1007289
36,1628,60,"""POPLATEK MESICNE""",930110,1007289
37,2379,44,"""POPLATEK MESICNE""",930110,1007289
38,1979,26,"""POPLATEK MESICNE""",930111,1007289
39,346,37,"""POPLATEK MESICNE""",930111,1007289
40,1338,74,"""POPLATEK MESICNE""",930111,1007289
41,1909,14,"""POPLATEK MESICNE""",930112,1007289
42,2099,3,"""POPLATEK TYDNE""",930112,1007289
43,3760,44,"""POPLATEK MESICNE""",930113,1007289
44,5270,44,"""POPLATEK MESICNE""",930113,1007289
45,1699,53,"""POPLATEK MESICNE""",930114,1007289
